시도,업종코드_10차_변형,기업수,증가율,설립일자
강원,가구 제조업,1,0.0,2018
강원,"가죽, 가방 및 신발 제조업",1,0.0,2018
강원,개인 및 소비용품 수리업,2,0.0,2018
강원,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",9,0.0,2018
강원,고무 및 플라스틱제품 제조업,1,0.0,2018
강원,교육 서비스업,7,0.0,2018
강원,금속 가공제품 제조업; 기계 및 가구 제외,2,0.0,2018
강원,금융 및 보험관련 서비스업,4,0.0,2018
강원,금융업,4,0.0,2018
강원,기타 개인 서비스업,2,0.0,2018
강원,기타 기계 및 장비 제조업,5,0.0,2018
강원,"기타 전문, 과학 및 기술 서비스업",4,0.0,2018
강원,기타 제품 제조업,4,0.0,2018
강원,농업,9,0.0,2018
강원,도매 및 상품 중개업,118,0.0,2018
강원,부동산업,30,0.0,2018
강원,비금속 광물제품 제조업,4,0.0,2018
강원,비금속광물 광업; 연료용 제외,2,0.0,2018
강원,사업 지원 서비스업,17,0.0,2018
강원,사업시설 관리 및 조경 서비스업,4,0.0,2018
강원,사회복지 서비스업,4,0.0,2018
강원,섬유제품 제조업; 의복 제외,3,0.0,2018
강원,소매업; 자동차 제외,23,0.0,2018
강원,숙박업,6,0.0,2018
강원,스포츠 및 오락관련 서비스업,3,0.0,2018
강원,식료품 제조업,31,0.0,2018
강원,연구개발업,2,0.0,2018
강원,영상ㆍ오디오 기록물 제작 및 배급업,3,0.0,2018
강원,육상 운송 및 파이프라인 운송업,12,0.0,2018
강원,음료 제조업,2,0.0,2018
강원,음식점 및 주점업,7,0.0,2018
강원,"의료, 정밀, 광학 기기 및 시계 제조업",8,0.0,2018
강원,의료용 물질 및 의약품 제조업,2,0.0,2018
강원,"의복, 의복 액세서리 및 모피제품 제조업",3,0.0,2018
강원,임대업; 부동산 제외,8,0.0,2018
강원,임업,5,0.0,2018
강원,자동차 및 부품 판매업,1,0.0,2018
강원,자동차 및 트레일러 제조업,3,0.0,2018
강원,"전기, 가스, 증기 및 공기 조절 공급업",56,0.0,2018
강원,전기장비 제조업,2,0.0,2018
강원,전문 서비스업,20,0.0,2018
강원,전문직별 공사업,38,0.0,2018
강원,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2,0.0,2018
강원,정보서비스업,5,0.0,2018
강원,종합 건설업,19,0.0,2018
강원,창고 및 운송관련 서비스업,3,0.0,2018
강원,"창작, 예술 및 여가관련 서비스업",6,0.0,2018
강원,출판업,13,0.0,2018
강원,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2,0.0,2018
강원,"폐기물 수집, 운반, 처리 및 원료 재생업",2,0.0,2018
강원,협회 및 단체,10,0.0,2018
강원,화학 물질 및 화학제품 제조업; 의약품 제외,7,0.0,2018
경기,1차 금속 제조업,30,0.0,2018
경기,가구 제조업,45,0.0,2018
경기,"가죽, 가방 및 신발 제조업",16,0.0,2018
경기,개인 및 소비용품 수리업,30,0.0,2018
경기,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",67,0.0,2018
경기,고무 및 플라스틱제품 제조업,67,0.0,2018
경기,교육 서비스업,106,0.0,2018
경기,금속 가공제품 제조업; 기계 및 가구 제외,84,0.0,2018
경기,금융 및 보험관련 서비스업,78,0.0,2018
경기,금융업,57,0.0,2018
경기,기타 개인 서비스업,28,0.0,2018
경기,기타 기계 및 장비 제조업,213,0.0,2018
경기,기타 운송장비 제조업,9,0.0,2018
경기,"기타 전문, 과학 및 기술 서비스업",75,0.0,2018
경기,기타 제품 제조업,71,0.0,2018
경기,농업,52,0.0,2018
경기,도매 및 상품 중개업,1701,0.0,2018
경기,목재 및 나무제품 제조업; 가구 제외,18,0.0,2018
경기,방송업,2,0.0,2018
경기,보건업,1,0.0,2018
경기,보험 및 연금업,3,0.0,2018
경기,부동산업,524,0.0,2018
경기,비금속 광물제품 제조업,36,0.0,2018
경기,비금속광물 광업; 연료용 제외,5,0.0,2018
경기,사업 지원 서비스업,308,0.0,2018
경기,사업시설 관리 및 조경 서비스업,48,0.0,2018
경기,사회복지 서비스업,16,0.0,2018
경기,산업용 기계 및 장비 수리업,4,0.0,2018
경기,섬유제품 제조업; 의복 제외,32,0.0,2018
경기,소매업; 자동차 제외,391,0.0,2018
경기,숙박업,7,0.0,2018
경기,스포츠 및 오락관련 서비스업,36,0.0,2018
경기,식료품 제조업,187,0.0,2018
경기,어업,1,0.0,2018
경기,연구개발업,34,0.0,2018
경기,영상ㆍ오디오 기록물 제작 및 배급업,44,0.0,2018
경기,우편 및 통신업,7,0.0,2018
경기,육상 운송 및 파이프라인 운송업,71,0.0,2018
경기,음료 제조업,10,0.0,2018
경기,음식점 및 주점업,121,0.0,2018
경기,"의료, 정밀, 광학 기기 및 시계 제조업",61,0.0,2018
경기,의료용 물질 및 의약품 제조업,12,0.0,2018
경기,"의복, 의복 액세서리 및 모피제품 제조업",62,0.0,2018
경기,인쇄 및 기록매체 복제업,20,0.0,2018
경기,임대업; 부동산 제외,35,0.0,2018
경기,임업,4,0.0,2018
경기,자동차 및 부품 판매업,104,0.0,2018
경기,자동차 및 트레일러 제조업,86,0.0,2018
경기,"전기, 가스, 증기 및 공기 조절 공급업",115,0.0,2018
경기,전기장비 제조업,83,0.0,2018
경기,전문 서비스업,296,0.0,2018
경기,전문직별 공사업,337,0.0,2018
경기,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",322,0.0,2018
경기,정보서비스업,86,0.0,2018
경기,종합 건설업,163,0.0,2018
경기,창고 및 운송관련 서비스업,59,0.0,2018
경기,"창작, 예술 및 여가관련 서비스업",28,0.0,2018
경기,출판업,389,0.0,2018
경기,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",31,0.0,2018
경기,"펄프, 종이 및 종이제품 제조업",18,0.0,2018
경기,"폐기물 수집, 운반, 처리 및 원료 재생업",29,0.0,2018
경기,"하수, 폐수 및 분뇨 처리업",1,0.0,2018
경기,협회 및 단체,29,0.0,2018
경기,화학 물질 및 화학제품 제조업; 의약품 제외,147,0.0,2018
경기,환경 정화 및 복원업,1,0.0,2018
경남,1차 금속 제조업,11,0.0,2018
경남,가구 제조업,3,0.0,2018
경남,"가죽, 가방 및 신발 제조업",1,0.0,2018
경남,개인 및 소비용품 수리업,3,0.0,2018
경남,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",13,0.0,2018
경남,고무 및 플라스틱제품 제조업,9,0.0,2018
경남,교육 서비스업,13,0.0,2018
경남,금속 가공제품 제조업; 기계 및 가구 제외,39,0.0,2018
경남,금융업,2,0.0,2018
경남,기타 개인 서비스업,4,0.0,2018
경남,기타 기계 및 장비 제조업,45,0.0,2018
경남,기타 운송장비 제조업,38,0.0,2018
경남,"기타 전문, 과학 및 기술 서비스업",6,0.0,2018
경남,기타 제품 제조업,8,0.0,2018
경남,농업,31,0.0,2018
경남,도매 및 상품 중개업,186,0.0,2018
경남,목재 및 나무제품 제조업; 가구 제외,2,0.0,2018
경남,보건업,1,0.0,2018
경남,부동산업,67,0.0,2018
경남,비금속 광물제품 제조업,3,0.0,2018
경남,사업 지원 서비스업,16,0.0,2018
경남,사업시설 관리 및 조경 서비스업,16,0.0,2018
경남,산업용 기계 및 장비 수리업,3,0.0,2018
경남,소매업; 자동차 제외,47,0.0,2018
경남,숙박업,5,0.0,2018
경남,스포츠 및 오락관련 서비스업,8,0.0,2018
경남,식료품 제조업,21,0.0,2018
경남,어업,3,0.0,2018
경남,연구개발업,7,0.0,2018
경남,영상ㆍ오디오 기록물 제작 및 배급업,2,0.0,2018
경남,우편 및 통신업,1,0.0,2018
경남,육상 운송 및 파이프라인 운송업,26,0.0,2018
경남,음식점 및 주점업,12,0.0,2018
경남,"의료, 정밀, 광학 기기 및 시계 제조업",3,0.0,2018
경남,의료용 물질 및 의약품 제조업,1,0.0,2018
경남,"의복, 의복 액세서리 및 모피제품 제조업",2,0.0,2018
경남,임대업; 부동산 제외,9,0.0,2018
경남,임업,2,0.0,2018
경남,자동차 및 부품 판매업,7,0.0,2018
경남,자동차 및 트레일러 제조업,31,0.0,2018
경남,"전기, 가스, 증기 및 공기 조절 공급업",30,0.0,2018
경남,전기장비 제조업,13,0.0,2018
경남,전문 서비스업,24,0.0,2018
경남,전문직별 공사업,73,0.0,2018
경남,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",15,0.0,2018
경남,정보서비스업,5,0.0,2018
경남,종합 건설업,31,0.0,2018
경남,창고 및 운송관련 서비스업,10,0.0,2018
경남,"창작, 예술 및 여가관련 서비스업",2,0.0,2018
경남,출판업,15,0.0,2018
경남,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1,0.0,2018
경남,"코크스, 연탄 및 석유정제품 제조업",3,0.0,2018
경남,"펄프, 종이 및 종이제품 제조업",3,0.0,2018
경남,"폐기물 수집, 운반, 처리 및 원료 재생업",7,0.0,2018
경남,협회 및 단체,10,0.0,2018
경남,화학 물질 및 화학제품 제조업; 의약품 제외,10,0.0,2018
경북,1차 금속 제조업,4,0.0,2018
경북,가구 제조업,3,0.0,2018
경북,"가죽, 가방 및 신발 제조업",2,0.0,2018
경북,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",16,0.0,2018
경북,고무 및 플라스틱제품 제조업,11,0.0,2018
경북,교육 서비스업,7,0.0,2018
경북,금속 가공제품 제조업; 기계 및 가구 제외,19,0.0,2018
경북,금융 및 보험관련 서비스업,1,0.0,2018
경북,기타 기계 및 장비 제조업,32,0.0,2018
경북,기타 운송장비 제조업,2,0.0,2018
경북,"기타 전문, 과학 및 기술 서비스업",3,0.0,2018
경북,기타 제품 제조업,3,0.0,2018
경북,농업,53,0.0,2018
경북,도매 및 상품 중개업,158,0.0,2018
경북,목재 및 나무제품 제조업; 가구 제외,2,0.0,2018
경북,부동산업,48,0.0,2018
경북,비금속 광물제품 제조업,12,0.0,2018
경북,비금속광물 광업; 연료용 제외,5,0.0,2018
경북,사업 지원 서비스업,37,0.0,2018
경북,사업시설 관리 및 조경 서비스업,15,0.0,2018
경북,사회복지 서비스업,4,0.0,2018
경북,산업용 기계 및 장비 수리업,1,0.0,2018
경북,섬유제품 제조업; 의복 제외,4,0.0,2018
경북,소매업; 자동차 제외,35,0.0,2018
경북,수상 운송업,1,0.0,2018
경북,숙박업,2,0.0,2018
경북,스포츠 및 오락관련 서비스업,3,0.0,2018
경북,식료품 제조업,37,0.0,2018
경북,어업,2,0.0,2018
경북,연구개발업,3,0.0,2018
경북,영상ㆍ오디오 기록물 제작 및 배급업,4,0.0,2018
경북,우편 및 통신업,1,0.0,2018
경북,육상 운송 및 파이프라인 운송업,10,0.0,2018
경북,음료 제조업,1,0.0,2018
경북,음식점 및 주점업,17,0.0,2018
경북,"의료, 정밀, 광학 기기 및 시계 제조업",6,0.0,2018
경북,의료용 물질 및 의약품 제조업,1,0.0,2018
경북,"의복, 의복 액세서리 및 모피제품 제조업",2,0.0,2018
경북,인쇄 및 기록매체 복제업,1,0.0,2018
경북,임대업; 부동산 제외,4,0.0,2018
경북,임업,5,0.0,2018
경북,자동차 및 부품 판매업,10,0.0,2018
경북,자동차 및 트레일러 제조업,33,0.0,2018
경북,"전기, 가스, 증기 및 공기 조절 공급업",114,0.0,2018
경북,전기장비 제조업,7,0.0,2018
경북,전문 서비스업,34,0.0,2018
경북,전문직별 공사업,60,0.0,2018
경북,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",33,0.0,2018
경북,정보서비스업,6,0.0,2018
경북,종합 건설업,37,0.0,2018
경북,창고 및 운송관련 서비스업,7,0.0,2018
경북,"창작, 예술 및 여가관련 서비스업",3,0.0,2018
경북,출판업,19,0.0,2018
경북,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1,0.0,2018
경북,"펄프, 종이 및 종이제품 제조업",4,0.0,2018
경북,"폐기물 수집, 운반, 처리 및 원료 재생업",13,0.0,2018
경북,협회 및 단체,8,0.0,2018
경북,화학 물질 및 화학제품 제조업; 의약품 제외,21,0.0,2018
광주,1차 금속 제조업,1,0.0,2018
광주,가구 제조업,1,0.0,2018
광주,"가죽, 가방 및 신발 제조업",1,0.0,2018
광주,개인 및 소비용품 수리업,2,0.0,2018
광주,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",4,0.0,2018
광주,고무 및 플라스틱제품 제조업,5,0.0,2018
광주,교육 서비스업,10,0.0,2018
광주,금속 가공제품 제조업; 기계 및 가구 제외,11,0.0,2018
광주,금융 및 보험관련 서비스업,8,0.0,2018
광주,금융업,5,0.0,2018
광주,기타 개인 서비스업,3,0.0,2018
광주,기타 기계 및 장비 제조업,10,0.0,2018
광주,기타 운송장비 제조업,2,0.0,2018
광주,"기타 전문, 과학 및 기술 서비스업",19,0.0,2018
광주,기타 제품 제조업,4,0.0,2018
광주,농업,5,0.0,2018
광주,도매 및 상품 중개업,239,0.0,2018
광주,목재 및 나무제품 제조업; 가구 제외,2,0.0,2018
광주,방송업,1,0.0,2018
광주,부동산업,100,0.0,2018
광주,비금속 광물제품 제조업,5,0.0,2018
광주,사업 지원 서비스업,29,0.0,2018
광주,사업시설 관리 및 조경 서비스업,7,0.0,2018
광주,사회복지 서비스업,1,0.0,2018
광주,산업용 기계 및 장비 수리업,1,0.0,2018
광주,섬유제품 제조업; 의복 제외,2,0.0,2018
광주,소매업; 자동차 제외,73,0.0,2018
광주,숙박업,1,0.0,2018
광주,스포츠 및 오락관련 서비스업,3,0.0,2018
광주,식료품 제조업,35,0.0,2018
광주,연구개발업,2,0.0,2018
광주,영상ㆍ오디오 기록물 제작 및 배급업,3,0.0,2018
광주,우편 및 통신업,7,0.0,2018
광주,육상 운송 및 파이프라인 운송업,13,0.0,2018
광주,음식점 및 주점업,17,0.0,2018
광주,"의료, 정밀, 광학 기기 및 시계 제조업",7,0.0,2018
광주,"의복, 의복 액세서리 및 모피제품 제조업",3,0.0,2018
광주,임대업; 부동산 제외,6,0.0,2018
광주,자동차 및 부품 판매업,23,0.0,2018
광주,자동차 및 트레일러 제조업,9,0.0,2018
광주,"전기, 가스, 증기 및 공기 조절 공급업",165,0.0,2018
광주,전기장비 제조업,9,0.0,2018
광주,전문 서비스업,37,0.0,2018
광주,전문직별 공사업,108,0.0,2018
광주,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",19,0.0,2018
광주,정보서비스업,5,0.0,2018
