시도,업종코드_10차_변형,기업수,증가율,설립일자
광주,종합 건설업,48,0.0,2018
광주,창고 및 운송관련 서비스업,6,0.0,2018
광주,"창작, 예술 및 여가관련 서비스업",3,0.0,2018
광주,출판업,45,0.0,2018
광주,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",4,0.0,2018
광주,"펄프, 종이 및 종이제품 제조업",1,0.0,2018
광주,협회 및 단체,11,0.0,2018
광주,화학 물질 및 화학제품 제조업; 의약품 제외,5,0.0,2018
대구,1차 금속 제조업,3,0.0,2018
대구,가구 제조업,1,0.0,2018
대구,개인 및 소비용품 수리업,3,0.0,2018
대구,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",8,0.0,2018
대구,고무 및 플라스틱제품 제조업,9,0.0,2018
대구,교육 서비스업,24,0.0,2018
대구,금속 가공제품 제조업; 기계 및 가구 제외,10,0.0,2018
대구,금융 및 보험관련 서비스업,5,0.0,2018
대구,금융업,7,0.0,2018
대구,기타 개인 서비스업,4,0.0,2018
대구,기타 기계 및 장비 제조업,17,0.0,2018
대구,기타 운송장비 제조업,1,0.0,2018
대구,"기타 전문, 과학 및 기술 서비스업",9,0.0,2018
대구,기타 제품 제조업,9,0.0,2018
대구,농업,11,0.0,2018
대구,도매 및 상품 중개업,189,0.0,2018
대구,목재 및 나무제품 제조업; 가구 제외,1,0.0,2018
대구,보건업,1,0.0,2018
대구,부동산업,84,0.0,2018
대구,비금속 광물제품 제조업,3,0.0,2018
대구,사업 지원 서비스업,45,0.0,2018
대구,사업시설 관리 및 조경 서비스업,13,0.0,2018
대구,사회복지 서비스업,1,0.0,2018
대구,섬유제품 제조업; 의복 제외,6,0.0,2018
대구,소매업; 자동차 제외,50,0.0,2018
대구,스포츠 및 오락관련 서비스업,12,0.0,2018
대구,식료품 제조업,31,0.0,2018
대구,어업,1,0.0,2018
대구,연구개발업,5,0.0,2018
대구,영상ㆍ오디오 기록물 제작 및 배급업,6,0.0,2018
대구,우편 및 통신업,2,0.0,2018
대구,육상 운송 및 파이프라인 운송업,5,0.0,2018
대구,음식점 및 주점업,11,0.0,2018
대구,"의료, 정밀, 광학 기기 및 시계 제조업",9,0.0,2018
대구,의료용 물질 및 의약품 제조업,2,0.0,2018
대구,"의복, 의복 액세서리 및 모피제품 제조업",4,0.0,2018
대구,인쇄 및 기록매체 복제업,2,0.0,2018
대구,임대업; 부동산 제외,2,0.0,2018
대구,자동차 및 부품 판매업,15,0.0,2018
대구,자동차 및 트레일러 제조업,13,0.0,2018
대구,"전기, 가스, 증기 및 공기 조절 공급업",43,0.0,2018
대구,전기장비 제조업,12,0.0,2018
대구,전문 서비스업,65,0.0,2018
대구,전문직별 공사업,33,0.0,2018
대구,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",12,0.0,2018
대구,정보서비스업,13,0.0,2018
대구,종합 건설업,31,0.0,2018
대구,창고 및 운송관련 서비스업,2,0.0,2018
대구,"창작, 예술 및 여가관련 서비스업",8,0.0,2018
대구,출판업,25,0.0,2018
대구,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",5,0.0,2018
대구,"펄프, 종이 및 종이제품 제조업",2,0.0,2018
대구,"폐기물 수집, 운반, 처리 및 원료 재생업",5,0.0,2018
대구,협회 및 단체,7,0.0,2018
대구,화학 물질 및 화학제품 제조업; 의약품 제외,12,0.0,2018
대전,가구 제조업,1,0.0,2018
대전,"가죽, 가방 및 신발 제조업",1,0.0,2018
대전,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",3,0.0,2018
대전,고무 및 플라스틱제품 제조업,4,0.0,2018
대전,교육 서비스업,8,0.0,2018
대전,금속 가공제품 제조업; 기계 및 가구 제외,2,0.0,2018
대전,금융 및 보험관련 서비스업,6,0.0,2018
대전,금융업,5,0.0,2018
대전,기타 개인 서비스업,3,0.0,2018
대전,기타 기계 및 장비 제조업,17,0.0,2018
대전,"기타 전문, 과학 및 기술 서비스업",14,0.0,2018
대전,기타 제품 제조업,7,0.0,2018
대전,농업,6,0.0,2018
대전,도매 및 상품 중개업,152,0.0,2018
대전,목재 및 나무제품 제조업; 가구 제외,1,0.0,2018
대전,방송업,2,0.0,2018
대전,보건업,1,0.0,2018
대전,부동산업,48,0.0,2018
대전,비금속 광물제품 제조업,4,0.0,2018
대전,사업 지원 서비스업,11,0.0,2018
대전,사업시설 관리 및 조경 서비스업,3,0.0,2018
대전,사회복지 서비스업,2,0.0,2018
대전,섬유제품 제조업; 의복 제외,2,0.0,2018
대전,소매업; 자동차 제외,36,0.0,2018
대전,수상 운송업,1,0.0,2018
대전,스포츠 및 오락관련 서비스업,2,0.0,2018
대전,식료품 제조업,22,0.0,2018
대전,연구개발업,10,0.0,2018
대전,영상ㆍ오디오 기록물 제작 및 배급업,2,0.0,2018
대전,우편 및 통신업,1,0.0,2018
대전,육상 운송 및 파이프라인 운송업,2,0.0,2018
대전,음료 제조업,3,0.0,2018
대전,음식점 및 주점업,16,0.0,2018
대전,"의료, 정밀, 광학 기기 및 시계 제조업",13,0.0,2018
대전,의료용 물질 및 의약품 제조업,2,0.0,2018
대전,"의복, 의복 액세서리 및 모피제품 제조업",4,0.0,2018
대전,인쇄 및 기록매체 복제업,1,0.0,2018
대전,임대업; 부동산 제외,5,0.0,2018
대전,자동차 및 부품 판매업,16,0.0,2018
대전,자동차 및 트레일러 제조업,2,0.0,2018
대전,"전기, 가스, 증기 및 공기 조절 공급업",104,0.0,2018
대전,전기장비 제조업,11,0.0,2018
대전,전문 서비스업,40,0.0,2018
대전,전문직별 공사업,45,0.0,2018
대전,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",9,0.0,2018
대전,정보서비스업,19,0.0,2018
대전,종합 건설업,16,0.0,2018
대전,창고 및 운송관련 서비스업,5,0.0,2018
대전,"창작, 예술 및 여가관련 서비스업",4,0.0,2018
대전,출판업,47,0.0,2018
대전,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",11,0.0,2018
대전,"펄프, 종이 및 종이제품 제조업",2,0.0,2018
대전,"폐기물 수집, 운반, 처리 및 원료 재생업",2,0.0,2018
대전,협회 및 단체,2,0.0,2018
대전,화학 물질 및 화학제품 제조업; 의약품 제외,14,0.0,2018
부산,1차 금속 제조업,9,0.0,2018
부산,"가죽, 가방 및 신발 제조업",9,0.0,2018
부산,개인 및 소비용품 수리업,4,0.0,2018
부산,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",8,0.0,2018
부산,고무 및 플라스틱제품 제조업,6,0.0,2018
부산,교육 서비스업,30,0.0,2018
부산,금속 가공제품 제조업; 기계 및 가구 제외,10,0.0,2018
부산,금융 및 보험관련 서비스업,14,0.0,2018
부산,금융업,6,0.0,2018
부산,기타 개인 서비스업,10,0.0,2018
부산,기타 기계 및 장비 제조업,31,0.0,2018
부산,기타 운송장비 제조업,11,0.0,2018
부산,"기타 전문, 과학 및 기술 서비스업",29,0.0,2018
부산,기타 제품 제조업,11,0.0,2018
부산,농업,4,0.0,2018
부산,도매 및 상품 중개업,299,0.0,2018
부산,방송업,1,0.0,2018
부산,부동산업,159,0.0,2018
부산,비금속 광물제품 제조업,3,0.0,2018
부산,사업 지원 서비스업,45,0.0,2018
부산,사업시설 관리 및 조경 서비스업,13,0.0,2018
부산,사회복지 서비스업,11,0.0,2018
부산,산업용 기계 및 장비 수리업,8,0.0,2018
부산,섬유제품 제조업; 의복 제외,3,0.0,2018
부산,소매업; 자동차 제외,98,0.0,2018
부산,수상 운송업,5,0.0,2018
부산,숙박업,9,0.0,2018
부산,스포츠 및 오락관련 서비스업,10,0.0,2018
부산,식료품 제조업,38,0.0,2018
부산,연구개발업,3,0.0,2018
부산,영상ㆍ오디오 기록물 제작 및 배급업,9,0.0,2018
부산,우편 및 통신업,1,0.0,2018
부산,육상 운송 및 파이프라인 운송업,26,0.0,2018
부산,음료 제조업,1,0.0,2018
부산,음식점 및 주점업,33,0.0,2018
부산,"의료, 정밀, 광학 기기 및 시계 제조업",5,0.0,2018
부산,"의복, 의복 액세서리 및 모피제품 제조업",12,0.0,2018
부산,인쇄 및 기록매체 복제업,2,0.0,2018
부산,임대업; 부동산 제외,11,0.0,2018
부산,임업,1,0.0,2018
부산,자동차 및 부품 판매업,14,0.0,2018
부산,자동차 및 트레일러 제조업,8,0.0,2018
부산,"전기, 가스, 증기 및 공기 조절 공급업",15,0.0,2018
부산,전기장비 제조업,14,0.0,2018
부산,전문 서비스업,66,0.0,2018
부산,전문직별 공사업,79,0.0,2018
부산,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",8,0.0,2018
부산,정보서비스업,21,0.0,2018
부산,종합 건설업,53,0.0,2018
부산,창고 및 운송관련 서비스업,21,0.0,2018
부산,"창작, 예술 및 여가관련 서비스업",10,0.0,2018
부산,출판업,81,0.0,2018
부산,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",7,0.0,2018
부산,"펄프, 종이 및 종이제품 제조업",5,0.0,2018
부산,"폐기물 수집, 운반, 처리 및 원료 재생업",4,0.0,2018
부산,협회 및 단체,14,0.0,2018
부산,화학 물질 및 화학제품 제조업; 의약품 제외,27,0.0,2018
서울,1차 금속 제조업,10,0.0,2018
서울,가구 제조업,22,0.0,2018
서울,"가죽, 가방 및 신발 제조업",40,0.0,2018
서울,개인 및 소비용품 수리업,11,0.0,2018
서울,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",81,0.0,2018
서울,고무 및 플라스틱제품 제조업,23,0.0,2018
서울,"공공 행정, 국방 및 사회보장 행정",1,0.0,2018
서울,광업 지원 서비스업,1,0.0,2018
서울,교육 서비스업,206,0.0,2018
서울,금속 가공제품 제조업; 기계 및 가구 제외,10,0.0,2018
서울,금속 광업,1,0.0,2018
서울,금융 및 보험관련 서비스업,727,0.0,2018
서울,금융업,734,0.0,2018
서울,기타 개인 서비스업,44,0.0,2018
서울,기타 기계 및 장비 제조업,45,0.0,2018
서울,기타 운송장비 제조업,12,0.0,2018
서울,"기타 전문, 과학 및 기술 서비스업",305,0.0,2018
서울,기타 제품 제조업,79,0.0,2018
서울,농업,12,0.0,2018
서울,도매 및 상품 중개업,2186,0.0,2018
서울,목재 및 나무제품 제조업; 가구 제외,4,0.0,2018
서울,방송업,11,0.0,2018
서울,보건업,4,0.0,2018
서울,보험 및 연금업,4,0.0,2018
서울,부동산업,514,0.0,2018
서울,비금속 광물제품 제조업,7,0.0,2018
서울,비금속광물 광업; 연료용 제외,5,0.0,2018
서울,사업 지원 서비스업,372,0.0,2018
서울,사업시설 관리 및 조경 서비스업,33,0.0,2018
서울,사회복지 서비스업,17,0.0,2018
서울,산업용 기계 및 장비 수리업,3,0.0,2018
서울,섬유제품 제조업; 의복 제외,35,0.0,2018
서울,소매업; 자동차 제외,777,0.0,2018
서울,수상 운송업,5,0.0,2018
서울,숙박업,19,0.0,2018
서울,스포츠 및 오락관련 서비스업,86,0.0,2018
서울,식료품 제조업,176,0.0,2018
서울,연구개발업,49,0.0,2018
서울,영상ㆍ오디오 기록물 제작 및 배급업,289,0.0,2018
서울,우편 및 통신업,22,0.0,2018
서울,육상 운송 및 파이프라인 운송업,33,0.0,2018
서울,음료 제조업,12,0.0,2018
서울,음식점 및 주점업,229,0.0,2018
서울,"의료, 정밀, 광학 기기 및 시계 제조업",47,0.0,2018
서울,의료용 물질 및 의약품 제조업,14,0.0,2018
서울,"의복, 의복 액세서리 및 모피제품 제조업",181,0.0,2018
서울,인쇄 및 기록매체 복제업,23,0.0,2018
서울,임대업; 부동산 제외,48,0.0,2018
서울,자동차 및 부품 판매업,90,0.0,2018
서울,자동차 및 트레일러 제조업,12,0.0,2018
서울,"전기, 가스, 증기 및 공기 조절 공급업",88,0.0,2018
서울,전기장비 제조업,37,0.0,2018
서울,전문 서비스업,1104,0.0,2018
서울,전문직별 공사업,170,0.0,2018
서울,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",102,0.0,2018
서울,정보서비스업,288,0.0,2018
서울,종합 건설업,98,0.0,2018
서울,창고 및 운송관련 서비스업,69,0.0,2018
서울,"창작, 예술 및 여가관련 서비스업",113,0.0,2018
서울,출판업,1264,0.0,2018
서울,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",107,0.0,2018
서울,"펄프, 종이 및 종이제품 제조업",8,0.0,2018
서울,"폐기물 수집, 운반, 처리 및 원료 재생업",5,0.0,2018
서울,"하수, 폐수 및 분뇨 처리업",1,0.0,2018
서울,항공 운송업,1,0.0,2018
서울,협회 및 단체,61,0.0,2018
서울,화학 물질 및 화학제품 제조업; 의약품 제외,273,0.0,2018
서울,환경 정화 및 복원업,1,0.0,2018
세종,1차 금속 제조업,1,0.0,2018
세종,가구 제조업,1,0.0,2018
세종,개인 및 소비용품 수리업,1,0.0,2018
세종,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",5,0.0,2018
세종,고무 및 플라스틱제품 제조업,2,0.0,2018
세종,교육 서비스업,4,0.0,2018
세종,금속 가공제품 제조업; 기계 및 가구 제외,1,0.0,2018
세종,금융 및 보험관련 서비스업,4,0.0,2018
세종,금융업,1,0.0,2018
세종,기타 개인 서비스업,1,0.0,2018
세종,기타 기계 및 장비 제조업,3,0.0,2018
세종,"기타 전문, 과학 및 기술 서비스업",1,0.0,2018
세종,기타 제품 제조업,1,0.0,2018
세종,농업,1,0.0,2018
세종,도매 및 상품 중개업,23,0.0,2018
세종,부동산업,20,0.0,2018
세종,비금속 광물제품 제조업,3,0.0,2018
세종,사업 지원 서비스업,5,0.0,2018
세종,사업시설 관리 및 조경 서비스업,1,0.0,2018
세종,사회복지 서비스업,1,0.0,2018
세종,소매업; 자동차 제외,8,0.0,2018
세종,스포츠 및 오락관련 서비스업,2,0.0,2018
세종,식료품 제조업,6,0.0,2018
세종,연구개발업,1,0.0,2018
세종,영상ㆍ오디오 기록물 제작 및 배급업,2,0.0,2018
세종,육상 운송 및 파이프라인 운송업,1,0.0,2018
세종,음식점 및 주점업,3,0.0,2018
세종,"의료, 정밀, 광학 기기 및 시계 제조업",1,0.0,2018
세종,의료용 물질 및 의약품 제조업,1,0.0,2018
세종,인쇄 및 기록매체 복제업,2,0.0,2018
세종,임대업; 부동산 제외,1,0.0,2018
세종,자동차 및 부품 판매업,1,0.0,2018
세종,"전기, 가스, 증기 및 공기 조절 공급업",11,0.0,2018
세종,전기장비 제조업,2,0.0,2018
세종,전문 서비스업,2,0.0,2018
